species,age_group,temperature,ph,oxygen,stocking_density,water_source,recent_deaths,death_rate,loss_of_appetite,lethargy,erratic_swimming,isolation,surface_swimming,gasping_for_air,skin_lesions,ulcers,fin_rot,scale_loss,body_swelling,discoloration,eye_cloudiness,excess_mucus,gill_discoloration,rapid_gill_movement,white_spots,fungal_growth,bloody_patches,disease
tilapia,juvenile,25.1363819171763,9.509231692676508,3.281026010416971,29,tank,1,15,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,poor_water_quality
trout,juvenile,25.790385283937063,6.351680833370327,3.645383853069892,11,tank,1,7,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,bacterial_infection
catfish,adult,24.59640441467968,9.488017217180372,6.779802453747743,20,pond,1,11,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,bacterial_infection
nile_perch,juvenile,25.74584845256164,7.27374335359413,7.415423356631367,39,pond,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,healthy
trout,adult,27.393647077941132,9.607139095786332,4.4143324112780435,45,pond,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,poor_water_quality
trout,adult,26.28241704307519,8.073255396453767,5.057712068640784,49,cage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,healthy
trout,fingerling,30.58976011270881,9.450306919557068,3.5421405166085016,36,tank,0,6,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,poor_water_quality
nile_perch,adult,27.242671465880342,8.350710272796277,5.977777461960581,11,tank,0,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,parasite_infection
nile_perch,fingerling,27.478284960459334,8.023041540431937,5.799892599360129,10,cage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,healthy
catfish,juvenile,28.009754281673384,8.421129279240585,5.824428699797345,21,tank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,healthy
tilapia,fingerling,25.32043238694971,9.484332091882795,4.856493722806702,15,cage,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,poor_water_quality
nile_perch,fingerling,22.744101212310653,7.670947312689343,7.559284579832358,35,cage,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,healthy
tilapia,adult,24.808611766333573,7.542312074509701,6.8503618928517085,29,tank,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,healthy
trout,adult,29.771941507717006,7.561365446201631,2.9497703804190376,10,cage,1,7,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,low_oxygen_stress
nile_perch,fingerling,27.919330754230298,6.810542077522097,4.428936938973903,15,tank,1,8,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,fungal_infection
catfish,fingerling,26.463301078243784,9.464478100472792,4.934865142294115,9,pond,1,9,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,bacterial_infection
tilapia,juvenile,27.75678268538765,7.617819155949987,7.521966806995104,48,tank,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,healthy
tilapia,fingerling,28.28655510024959,7.937184455890201,6.5053736642782845,34,tank,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,parasite_infection
trout,adult,27.726611551918523,8.973832510503124,4.321267200699746,21,tank,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,parasite_infection
tilapia,fingerling,28.81233815297047,6.8337717461292105,6.207936582555648,5,pond,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,healthy
catfish,adult,27.716000320675644,8.477376324979856,5.129536802887447,25,tank,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,healthy
tilapia,juvenile,28.539595276366708,6.742617280436686,5.672000047302223,22,pond,1,7,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,bacterial_infection
nile_perch,adult,27.365007369391183,8.131677543125463,4.139611865179981,28,cage,1,14,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,bacterial_infection
tilapia,fingerling,30.047232634951524,5.740822532420774,2.8862188316328434,16,tank,0,7,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,low_oxygen_stress
tilapia,juvenile,27.552402028044796,9.019582546922926,5.2741208671167765,20,cage,1,7,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,poor_water_quality
trout,adult,27.686416107441516,6.796676994799417,7.895243236893534,31,tank,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,healthy
